iter	Passed	Remaining
0	114	11321
1	161	7927
2	210	6820
3	253	6095
4	318	6048
5	374	5872
6	433	5759
7	484	5576
8	552	5585
9	608	5477
10	661	5351
11	737	5411
12	796	5328
13	858	5273
14	989	5608
15	1076	5649
16	1206	5891
17	1305	5946
18	1404	5988
19	1515	6061
20	1738	6541
21	1828	6484
22	1920	6431
23	2034	6442
24	2132	6397
25	2224	6330
26	2322	6278
27	2421	6225
28	2532	6199
29	2626	6128
30	2735	6087
31	2833	6022
32	2934	5957
33	3029	5881
34	3131	5816
35	3218	5721
36	3314	5644
37	3431	5599
38	3532	5524
39	3773	5659
40	4121	5931
41	4442	6134
42	4779	6335
43	5209	6630
44	5508	6732
45	5689	6679
46	5868	6617
47	6170	6684
48	6356	6615
49	6515	6515
50	6697	6434
51	6980	6443
52	7432	6591
53	7681	6543
54	7848	6421
55	7983	6272
56	8164	6159
57	8316	6022
58	8454	5874
59	8630	5753
60	8788	5618
61	8933	5475
62	9095	5342
63	9234	5194
64	9479	5104
65	9826	5062
66	9980	4915
67	10109	4757
68	10232	4597
69	10364	4441
70	10539	4304
71	10870	4227
72	11206	4144
73	11490	4037
74	11639	3879
75	11764	3715
76	11904	3555
77	12035	3394
78	12188	3239
79	12307	3076
80	12450	2920
81	12557	2756
82	12702	2601
83	12829	2443
84	12984	2291
85	13118	2135
86	13430	2006
87	13578	1851
88	13684	1691
89	13819	1535
90	13943	1379
91	14080	1224
92	14179	1067
93	14315	913
94	14439	759
95	14824	617
96	15206	470
97	15520	316
98	15695	158
99	16280	0
